_id,disease_number,dise_name,KCD_code,sanjung_code,support_content
65dea06e0dc299f1601720c8,1272,(무한성) 외배엽형성이상\nEctodermal dysplasia (anhidrotic),KCD코드 : Q82.4,산정특례코드 : V900,지원구분 : 의료비(급여부분)
65dea0700dc299f1601720ca,1271,"(승모판 협착 또는 폐쇄와 함께) 상행대동맥의 형성저하와 좌심실의 결손발육을 동반하는 대동맥구멍 및 판막의 폐쇄 또는 현저한 발육부전\nAtresia, or marked hypoplasia of aortic orifice or valve, with hypoplasia of ascending aorta and defective development of left ventricle (with mitral valve stenosis or atresia)",KCD코드 : Q23.4,산정특례코드 : V147,지원구분 : 의료비(급여부분)
65dea0720dc299f1601720cc,1270,"(외)이도의 선천성 결여, 폐쇄, 협착\nCongenital absence, atresia and stricture of auditory canal(external)",KCD코드 : Q16.1,산정특례코드 : V291,지원구분 : 의료비(급여부분)
65dea0740dc299f1601720ce,1269,(이상형태성) 태아알코올증후군\nFetal alcohol syndrome (dysmorphic),KCD코드 : Q86.0,산정특례코드 : V157,지원구분 : 의료비(급여부분)
65dea0770dc299f1601720d0,1268,(하)(상)대정맥의 선천성 협착\nCongenital stenosis of vena cava (inferior)(superior),KCD코드 : Q26.0,산정특례코드 : V150,지원구분 : 의료비(급여부분)
65dea07d0dc299f1601720d2,1267,(혈청검사음성인) 연소성 다발관절염\nJuvenile polyarthritis (seronegative),KCD코드 : M08.3,산정특례코드 : V133,지원구분 : 의료비(급여부분)
65dea07f0dc299f1601720d4,1266,10단완 11-12 결손 증후군\n10p11-12 deletion syndrome,KCD코드 : 없음,산정특례코드 : V901,지원구분 : 의료비(급여부분)
65dea0810dc299f1601720d6,1265,10단완삼염색체증\nTrisomy 10p,KCD코드 : Q92.2,산정특례코드 : V900,지원구분 : 의료비(급여부분)
65dea0830dc299f1601720d8,1264,10번 염색체 장완 말단부의 단일염색체증\nDistal monosomy 10q,KCD코드 : 없음,산정특례코드 : V901,지원구분 : 의료비(급여부분)
65dea0850dc299f1601720da,1263,10번 염색체 장완의 22-23 부분의 미세결손 증후군\n10q22q23 microdeletion syndrome,KCD코드 : 없음,산정특례코드 : V901,지원구분 : 의료비(급여부분)
