_id,news_title,news_url,news_when,news_topic
65e6be0c3cd41b2567398195,"한국쿄와기린, 세계 희귀질환의 날 행사 참여",http://www.bosa.co.kr/news/articleView.html?idxno=2217654,02.29 11:57,다국적제약/의료기기
65e6be0c3cd41b2567398196,"광동제약, ‘세계 희귀질환의 날’ 기념 환아 작품 전시회 개최",http://www.bosa.co.kr/news/articleView.html?idxno=2217640,02.29 10:52,제약산업
65e6be0c3cd41b2567398197," 순천향대 부천병원 신영림 교수, ‘질병관리청장 표창’ 수상",http://www.bosa.co.kr/news/articleView.html?idxno=2217629,02.29 10:29,동정
65e6be0d3cd41b2567398198,"창립 70주년 한독, ‘THANKS CAMPAIGN’ 실시",http://www.bosa.co.kr/news/articleView.html?idxno=2217617,02.29 10:07,제약산업
65e6be0d3cd41b2567398199,[세계 희귀질환의 날] 국가‧사회‧이웃‧의료진‧가족 함께 가야 한다,http://www.bosa.co.kr/news/articleView.html?idxno=2217595,02.29 05:50,학회/학술
65e6be0d3cd41b256739819a,희귀질환 극복 노력한 의대·병원 교수 7명 질병청장 표창,http://www.bosa.co.kr/news/articleView.html?idxno=2217532,02.28 11:54,질병청
65e6be0d3cd41b256739819b,"용인세브란스병원-SCL, 인체유래물은행 업무협약",http://www.bosa.co.kr/news/articleView.html?idxno=2217506,02.28 09:55,병원
65e6be0d3cd41b256739819c,노보 분자접착 분해제 발굴 제휴,http://www.bosa.co.kr/news/articleView.html?idxno=2217412,02.27 14:41,제약
65e6be0d3cd41b256739819d,"올라케어, 비대면 진료 서비스 개편…의료 공백 최소화 동참",http://www.bosa.co.kr/news/articleView.html?idxno=2217258,02.23 23:32,다국적제약/의료기기
65e6be0d3cd41b256739819e,"한미그룹 R&D 인적자원, 양·질 모두에서 업계 ‘최고수준’",http://www.bosa.co.kr/news/articleView.html?idxno=2217188,02.23 08:14,제약산업
65e6be0d3cd41b256739819f,"그래디언트 바이오컨버전스, 닥터노아바이오텍과 협업",http://www.bosa.co.kr/news/articleView.html?idxno=2217030,02.21 09:55,바이오
65e6be0d3cd41b25673981a0,"질병청, 올해 C형간염 국가검진 도입 추진",http://www.bosa.co.kr/news/articleView.html?idxno=2216819,02.19 10:00,질병청
65e6be0d3cd41b25673981a1,척수성 근위축증약 '에브리스디' 日 적응증 확대 신청,http://www.bosa.co.kr/news/articleView.html?idxno=2216746,02.19 06:00,제약
65e6be0d3cd41b25673981a2,"국립보건연, 바이오뱅킹 사업 통해 ‘암 조직’ 최초 공개 ",http://www.bosa.co.kr/news/articleView.html?idxno=2216691,02.15 12:59,질병청
65e6be0d3cd41b25673981a3,"한미‧GC녹십자 합작 파브리병 신약 ‘LA-GLA’, 효능 우수",http://www.bosa.co.kr/news/articleView.html?idxno=2216693,02.15 12:55,제약산업
65e6be0d3cd41b25673981a4,"“한국의 호킹들, 대학 졸업‧입학을 축하합니다”",http://www.bosa.co.kr/news/articleView.html?idxno=2216661,02.15 09:49,병원
65e6be0d3cd41b25673981a5,'선천성대사이상 검사-환아관리 사업' 참여,http://www.bosa.co.kr/news/articleView.html?idxno=2216652,02.15 08:49,식품
65e6be0d3cd41b25673981a6,다케다 경구 오렉신수용체 작용제 3상 임상 눈앞,http://www.bosa.co.kr/news/articleView.html?idxno=2216466,02.14 06:00,제약
65e6be0d3cd41b25673981a7,"닛폰신야쿠, 특발성 폐섬유증 치료물질 日 도입",http://www.bosa.co.kr/news/articleView.html?idxno=2216469,02.14 06:00,제약
65e6be0d3cd41b25673981a8,"심평원, 신약 임상 유용성 평가 간접비교 지침 개정 예고",http://www.bosa.co.kr/news/articleView.html?idxno=2216518,02.13 13:26,심평원
